date,value,is_interpolated
2016-09-12,1324.6,False
2016-09-13,1323.65,False
2016-09-14,1321.75,False
2016-09-15,1310.8,False
2016-09-16,1308.35,False
2016-09-17,1310.5166666666667,True
2016-09-18,1310.5166666666667,True
2016-09-19,1314.85,False
2016-09-20,1313.8,False
2016-09-21,1326.1,False
2016-09-22,1339.1,False
2016-09-23,1338.65,False
2016-09-24,1339.2666666666667,True
2016-09-25,1339.2666666666667,True
2016-09-26,1340.5,False
2016-09-27,1327.0,False
2016-09-28,1322.5,False
2016-09-29,1318.1,False
2016-09-30,1322.5,False
2016-10-01,1319.4333333333334,True
2016-10-02,1319.4333333333334,True
2016-10-03,1313.3,False
2016-10-04,1283.3,False
2016-10-05,1269.4,False
2016-10-06,1254.5,False
2016-10-07,1258.75,False
2016-10-08,1259.0,True
2016-10-09,1259.0,True
2016-10-10,1259.5,False
2016-10-11,1253.45,False
2016-10-12,1256.5,False
2016-10-13,1261.05,False
2016-10-14,1251.75,False
2016-10-15,1252.7666666666667,True
2016-10-16,1252.7666666666667,True
2016-10-17,1254.8,False
2016-10-18,1258.2,False
2016-10-19,1269.05,False
2016-10-20,1271.65,False
2016-10-21,1266.05,False
2016-10-22,1265.8833333333332,True
2016-10-23,1265.8833333333332,True
2016-10-24,1265.55,False
2016-10-25,1269.4,False
2016-10-26,1270.5,False
2016-10-27,1266.25,False
2016-10-28,1273.0,False
2016-10-29,1272.6666666666667,True
2016-10-30,1272.6666666666667,True
2016-10-31,1272.0,False
2016-11-01,1288.45,False
2016-11-02,1303.75,False
2016-11-03,1301.0,False
2016-11-04,1302.8,False
2016-11-05,1296.2166666666667,True
2016-11-06,1296.2166666666667,True
2016-11-07,1283.05,False
2016-11-08,1282.35,False
2016-11-09,1281.4,False
2016-11-10,1267.5,False
2016-11-11,1236.45,False
2016-11-12,1228.8333333333333,True
2016-11-13,1228.8333333333333,True
2016-11-14,1213.6,False
2016-11-15,1226.95,False
2016-11-16,1229.2,False
2016-11-17,1226.75,False
2016-11-18,1211.0,False
2016-11-19,1212.0833333333333,True
2016-11-20,1212.0833333333333,True
2016-11-21,1214.25,False
2016-11-22,1212.25,False
2016-11-23,1185.35,False
2016-11-24,1186.1,False
2016-11-25,1187.7,False
2016-11-26,1187.4666666666667,True
2016-11-27,1187.4666666666667,True
2016-11-28,1187.0,False
2016-11-29,1186.55,False
2016-11-30,1178.1,False
2016-12-01,1161.85,False
2016-12-02,1173.5,False
2016-12-03,1169.7333333333333,True
2016-12-04,1169.7333333333333,True
2016-12-05,1162.2,False
2016-12-06,1172.5,False
2016-12-07,1177.65,False
2016-12-08,1171.05,False
2016-12-09,1163.6,False
2016-12-10,1161.1,True
2016-12-11,1161.1,True
2016-12-12,1156.1,False
2016-12-13,1158.55,False
2016-12-14,1162.25,False
2016-12-15,1126.95,False
2016-12-16,1131.6,False
2016-12-17,1133.1499999999999,True
2016-12-18,1133.1499999999999,True
2016-12-19,1136.25,False
2016-12-20,1125.7,False
2016-12-21,1133.65,False
2016-12-22,1131.35,False
2016-12-23,1131.8916666666667,True
2016-12-24,1131.8916666666667,True
2016-12-25,1131.8916666666667,True
2016-12-26,1131.8916666666667,True
2016-12-27,1131.8916666666667,True
2016-12-28,1134.6,False
2016-12-29,1145.9,False
2016-12-30,1146.92,True
2016-12-31,1146.92,True
2017-01-01,1146.92,True
2017-01-02,1146.92,True
2017-01-03,1151.0,False
2017-01-04,1164.25,False
2017-01-05,1176.7,False
2017-01-06,1175.85,False
2017-01-07,1176.7333333333333,True
2017-01-08,1176.7333333333333,True
2017-01-09,1178.5,False
2017-01-10,1189.5,False
2017-01-11,1178.55,False
2017-01-12,1205.05,False
2017-01-13,1190.35,False
2017-01-14,1194.5666666666666,True
2017-01-15,1194.5666666666666,True
2017-01-16,1203.0,False
2017-01-17,1216.05,False
2017-01-18,1214.75,False
2017-01-19,1196.05,False
2017-01-20,1200.55,False
2017-01-21,1204.6499999999999,True
2017-01-22,1204.6499999999999,True
2017-01-23,1212.85,False
2017-01-24,1216.8,False
2017-01-25,1195.0,False
2017-01-26,1189.7,False
2017-01-27,1184.85,False
2017-01-28,1187.5,True
2017-01-29,1187.5,True
2017-01-30,1192.8,False
2017-01-31,1212.8,False
2017-02-01,1203.65,False
2017-02-02,1221.95,False
2017-02-03,1215.2,False
2017-02-04,1219.05,True
2017-02-05,1219.05,True
2017-02-06,1226.75,False
2017-02-07,1231.0,False
2017-02-08,1242.1,False
2017-02-09,1236.8,False
2017-02-10,1228.3,False
2017-02-11,1226.2833333333333,True
2017-02-12,1226.2833333333333,True
2017-02-13,1222.25,False
2017-02-14,1230.75,False
2017-02-15,1224.4,False
2017-02-16,1240.55,False
2017-02-17,1241.95,False
2017-02-18,1240.4,True
2017-02-19,1240.4,True
2017-02-20,1237.3,False
2017-02-21,1233.2,False
2017-02-22,1236.65,False
2017-02-23,1247.9,False
2017-02-24,1253.65,False
2017-02-25,1254.8333333333335,True
2017-02-26,1254.8333333333335,True
2017-02-27,1257.2,False
2017-02-28,1255.6,False
2017-03-01,1240.4,False
2017-03-02,1238.1,False
2017-03-03,1226.5,False
2017-03-04,1227.9833333333333,True
2017-03-05,1227.9833333333333,True
2017-03-06,1230.95,False
2017-03-07,1216.65,False
2017-03-08,1209.2,False
2017-03-09,1206.55,False
2017-03-10,1202.65,False
2017-03-11,1203.1666666666667,True
2017-03-12,1203.1666666666667,True
2017-03-13,1204.2,False
2017-03-14,1204.6,False
2017-03-15,1198.8,False
2017-03-16,1229.35,False
2017-03-17,1229.6,False
2017-03-18,1230.5333333333333,True
2017-03-19,1230.5333333333333,True
2017-03-20,1232.4,False
2017-03-21,1241.6,False
2017-03-22,1249.05,False
2017-03-23,1247.5,False
2017-03-24,1247.5,False
2017-03-25,1250.85,True
2017-03-26,1250.85,True
2017-03-27,1257.55,False
2017-03-28,1257.25,False
2017-03-29,1251.1,False
2017-03-30,1248.8,False
2017-03-31,1244.85,False
2017-04-01,1245.6499999999999,True
2017-04-02,1245.6499999999999,True
2017-04-03,1247.25,False
2017-04-04,1257.65,False
